url,role,origine,bundle,shaders,besoin_fix,rebuild_dispo,note
http://cloud-3.steamusercontent.com/ugc/1924743543116067490/87719312BE33C493B97B0915DB8C89FDC57D3F38/,principal,telecharge,swoop_bikes_rider_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/1924743543116068132/37BCE99DCF06BEFA1119FEA911188695F9C48079/,principal,telecharge,nr-n99_persuader-class_tank_droid_model,BucketheadBits/Units/Color Replacer,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2004698291313160948/23CA698C8F2AF1C08D2DED3564B138E72E2ABCBF/,principal,telecharge,darktrooper_hvyminigun,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2004698291313161010/1873BCD554A553BC2FF25A2BE16116EDEBFDCEF4/,principal,telecharge,darktrooper_hvyrocket,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2004698291313161066/7BD340C7AAB594CDA1644D900F606FEC8A0165A1/,principal,telecharge,darktrooper_hvysword,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2004698291313176203/E77892ADB668EA0CB548F6ED71BE44CA3FB730E7/,secondaire,cache,darktrooper_mat,BucketheadBits/Units/Color Replacer | BucketheadBits/Units/Glow Geometry,oui,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867128356/9E8C70962F9D5BF853BD9310F2BB1E1A3F80DB5D/,principal,telecharge,ewok_skirmisher4,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867128445/EBB56734DB6527B3566C317F6F4F0E84471D6776/,principal,cache,ewok_skirmisher5,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867128506/B24F2402EDC36C64688B7F492B382D972ABA30F1/,principal,cache,ewok_slinger1,,non,oui,
http://cloud-3.steamusercontent.com/ugc/2008089545867128565/24D88975D67E46B5FA9294EB6DCC146912D61F2F/,principal,telecharge,ewok_slinger2,,non,oui,
